title,labels
"Learn Python List Comprehensions Fast","EDU,TECH"
"Quantum Computer Breakthrough Explained","SCI,TECH"
"Stock Market Crash: What Investors Should Know","FIN,NEWS"
"Epic Gameplay Highlights - Final Boss","GAM"
"10 Minute Full Body Workout","LIF"
"Top AI Gadgets of 2025","TECH"
"Champions League Final Highlights","SPO"
"Easy Homemade Pasta Recipe","LIF"
"Understanding Inflation in 5 Minutes","FIN,NEWS"
"Best 2025 Budget Smartphones Reviewed","TECH"
"Relaxing Piano Music for Study","MUS"
"Latest Space Telescope Images","SCI,NEWS"
"Crypto Regulation Update Today","FIN,NEWS"
"Marvel Series Review Episode 1","ENT"
"Speedrunning World Record Attempt","GAM"
"Healthy Meal Prep on a Budget","LIF,FIN"
"Breaking: Election Results Incoming","NEWS"
"Advanced React Patterns Guide","TECH,EDU"
"Physics of Black Holes Simplified","SCI,EDU"
"NBA Finals Game 7 Recap","SPO"
"Beginner JavaScript DOM Crash Course","EDU,TECH"
"AI Chip Makers Face New Regulations","TECH,NEWS"
"Meditation Routine to Reduce Stress","LIF"
"Ultimate Home Chest Workout No Equipment","LIF"
"Earnings Call Summary: Major Bank Q2","FIN,NEWS"
"Mars Rover Finds Unusual Mineral Deposit","SCI,NEWS"
"Indie Game Review: Pixel Quest","GAM,ENT"
"How Compound Interest Works Visually","EDU,FIN"
"Morning Yoga Flow for Flexibility","LIF"
"Top 10 Classical Piano Pieces Ranked","MUS,ENT"
"Coach Explains Defensive Strategy Breakdown","SPO,EDU"
"AI vs Traditional Search Engines Explained","TECH,EDU"
"Space Weather Forecast Impacts Satellites","SCI,NEWS,TECH"
"Cooking With Seasonal Vegetables Autumn Edition","LIF"
"Pro Esports Finals Surprising Upset","GAM,NEWS"
"Dividend Investing Myths Debunked","FIN,EDU"
"VR Headset Comparison Guide 2025","TECH,ENT"
"Late Night Talk Show Highlights Compilation","ENT"
"New Fitness Tracker Accuracy Test","TECH,LIF"
"Songwriting Tips: Building a Hook","MUS,EDU"
"Protein Pancakes High Fiber Recipe","LIF"
"Tennis Grand Slam Semi Final Analysis","SPO"
"Biotech Startups to Watch This Year","SCI,FIN,NEWS"
"Budget Travel Hacks for Students","LIF,EDU"
"Retro Console Emulation Setup Tutorial","TECH,GAM,EDU"
"How Inflation Affects Grocery Bills","FIN,LIF"
"Animated Short Film Behind The Scenes","ENT,EDU"
"Speed Chess Match Ending Explained","SPO,ENT"
"Deep Learning Optimizers Intuition","TECH,EDU"
"Healthy Sleep Science: Circadian Rhythm","SCI,LIF,EDU"
"National Team Selection Controversy","SPO,NEWS"
"Studio Mixing Basics for Vocals","MUS,EDU,TECH"
"Quarterly GDP Growth Unexpected Slowdown","FIN,NEWS"
"Game Patch Notes Balance Changes Overview","GAM,NEWS"
"Is Coffee Good for Your Heart?","SCI,LIF,NEWS"
"Neural Network Pruning Techniques","TECH,EDU"
"Sports Injury Prevention Warmups","SPO,LIF,EDU"
"Pop Music Chart Toppers This Week","MUS,NEWS"
"History of Quantum Mechanics Milestones","SCI,EDU"
"Self Hosting a Password Manager Guide","TECH,EDU"
"World Cup Qualifier Last Minute Goal","SPO,NEWS"
"Mindful Eating Strategies Explained","LIF,EDU"
"E-Scooter Safety Regulations Update","NEWS,TECH,LIF"
"Minimalist Wardrobe Capsule Planning","LIF"
"Streaming Platform Original Series Rankings","ENT,NEWS"
"Cloud Cost Optimization Checklist","TECH,FIN,EDU"
"Basketball Rookie Scouting Report","SPO,NEWS"
"Chillhop Lofi Mix for Coding","MUS,TECH"
"Fantasy RPG Build Crafting Tips","GAM,EDU"
"Why Bond Yields Spiked Today","FIN,NEWS"
"Comet Approaches Inner Solar System","SCI,NEWS"
"Acoustic Guitar Fingerstyle Patterns","MUS,EDU"
"Keto Diet Pros and Cons Backed by Research","LIF,SCI"
"Open Source License Types Explained","TECH,EDU"
"Horror Game Atmospheric Sound Design","GAM,MUS,ENT"
"Olympic Sprinter Training Day Vlog","SPO,LIF"
"SaaS Pricing Strategy Framework","FIN,TECH,EDU"
"Brain Plasticity After Learning Study","SCI,NEWS,EDU"
"Short Film Festival Award Winners","ENT,NEWS"
"Rocket Launch Abort Sequence Demo","SCI,TECH"
"Cycling Interval Workout Timer","SPO,LIF"
"Synthwave Production Tutorial","MUS,TECH,EDU"
"Minimal API Design in Python","TECH,EDU"
"Cricket World Cup Powerplay Breakdown","SPO,EDU"
"Music Theory: Circle of Fifths Made Easy","MUS,EDU"
"Urban Farming Hydroponics Basics","LIF,SCI,EDU"
"AR Glasses Adoption Market Outlook","TECH,FIN,NEWS"
"Animated Series Season Finale Review","ENT"
"Esports Strategy Draft Phase Analysis","GAM,EDU"
"Mortgage Rates Near Two-Year High","FIN,NEWS"
"Genetic Editing Ethics Debate","SCI,NEWS,EDU"
"Beginner Drum Rudiments Practice","MUS,EDU"
"Trail Running Shoe Comparison","SPO,LIF"
"Thermodynamics First Law Intuition","SCI,EDU"
"Real Estate REITs vs Direct Ownership","FIN,EDU"
"AI Coding Assistant Limitations Review","TECH,EDU"
"Volleyball Serve Mechanics Slow Motion","SPO,EDU"
"Lo-Fi Beats to Sleep and Relax","MUS,LIF"
"Pilates Core Stability Routine","LIF"
"Competitive Card Game Meta Update","GAM,NEWS"
"Macroeconomic Indicators to Watch This Week","FIN,NEWS"
"Planetary Defense Mission Explained","SCI,TECH,EDU"
"Indie Film Crowdfunding Success Tips","ENT,FIN,EDU"
"Track Cycling Aerodynamics Explained","SPO,SCI,EDU"
"Data Privacy Regulation Changes Summary","NEWS,TECH"
"Guitar Tone Pedalboard Signal Chain Guide","MUS,TECH,EDU"
"Healthy Office Lunch Ideas","LIF"
"Edge Computing vs Cloud Tradeoffs","TECH,EDU"
"High School Exam Study Planner App Demo","EDU,TECH"
"Dietetics Myths Fact Checked","LIF,SCI,EDU"
